system:time_start,spei1y
"Jun 1, 2004",-0.933
"Jul 1, 2004",-0.621
"Aug 1, 2004",-0.491
"Sep 1, 2004",-0.302
"Jun 1, 2005",0.355
"Jul 1, 2005",0.346
"Aug 1, 2005",0.137
"Sep 1, 2005",-0.158
"Jun 1, 2006",0.133
"Jul 1, 2006",0.135
"Aug 1, 2006",0.104
"Sep 1, 2006",0.286
"Jun 1, 2007",-1.29
"Jul 1, 2007",-1.605
"Aug 1, 2007",-1.352
"Sep 1, 2007",-1.419
"Jun 1, 2008",-0.231
"Jul 1, 2008",-0.222
"Aug 1, 2008",-0.173
"Sep 1, 2008",-0.126
"Jun 1, 2009",-0.145
"Jul 1, 2009",0.131
"Aug 1, 2009",0.277
"Sep 1, 2009",0.507
"Jun 1, 2010",0.33
"Jul 1, 2010",0.265
"Aug 1, 2010",0.235
"Sep 1, 2010",0.3
"Jun 1, 2011",0.565
"Jul 1, 2011",0.648
"Aug 1, 2011",0.597
"Sep 1, 2011",0.438
"Jun 1, 2012",0
"Jul 1, 2012",-0.079
"Aug 1, 2012",-0.237
"Sep 1, 2012",-0.261
"Jun 1, 2013",-1.371
"Jul 1, 2013",-1.131
"Aug 1, 2013",-1.13
"Sep 1, 2013",-0.886
"Jun 1, 2014",-0.161
"Jul 1, 2014",-0.323
"Aug 1, 2014",0.051
"Sep 1, 2014",0.201
"Jun 1, 2015",-0.446
"Jul 1, 2015",-0.478
"Aug 1, 2015",-0.561
"Sep 1, 2015",-0.581
"Jun 1, 2016",-0.423
"Jul 1, 2016",-0.517
"Aug 1, 2016",-0.902
"Sep 1, 2016",-1.159
"Jun 1, 2017",1.144
"Jul 1, 2017",0.872
"Aug 1, 2017",0.946
"Sep 1, 2017",0.926
"Jun 1, 2018",-0.148
"Jul 1, 2018",-0.165
"Aug 1, 2018",-0.397
"Sep 1, 2018",-0.394
"Jun 1, 2019",-0.63
"Jul 1, 2019",-0.621
"Aug 1, 2019",-0.522
"Sep 1, 2019",-0.377
"Jun 1, 2020",-0.715
"Jul 1, 2020",-0.451
"Aug 1, 2020",-0.509
"Sep 1, 2020",-0.669
