system:time_start,spi1y
"Jun 1, 2004",-0.767
"Jul 1, 2004",-0.547
"Aug 1, 2004",-0.48
"Sep 1, 2004",-0.351
"Jun 1, 2005",0.219
"Jul 1, 2005",0.226
"Aug 1, 2005",0.055
"Sep 1, 2005",-0.265
"Jun 1, 2006",0.509
"Jul 1, 2006",0.41
"Aug 1, 2006",0.46
"Sep 1, 2006",0.558
"Jun 1, 2007",-1.052
"Jul 1, 2007",-1.313
"Aug 1, 2007",-1.259
"Sep 1, 2007",-1.196
"Jun 1, 2008",-0.105
"Jul 1, 2008",-0.12
"Aug 1, 2008",-0.157
"Sep 1, 2008",-0.187
"Jun 1, 2009",-0.052
"Jul 1, 2009",0.235
"Aug 1, 2009",0.302
"Sep 1, 2009",0.508
"Jun 1, 2010",0.195
"Jul 1, 2010",0.154
"Aug 1, 2010",0.176
"Sep 1, 2010",0.194
"Jun 1, 2011",0.591
"Jul 1, 2011",0.477
"Aug 1, 2011",0.419
"Sep 1, 2011",0.353
"Jun 1, 2012",0.075
"Jul 1, 2012",0.07
"Aug 1, 2012",0.044
"Sep 1, 2012",0.093
"Jun 1, 2013",-1.279
"Jul 1, 2013",-1.039
"Aug 1, 2013",-1.127
"Sep 1, 2013",-0.801
"Jun 1, 2014",-0.096
"Jul 1, 2014",-0.24
"Aug 1, 2014",0.1
"Sep 1, 2014",0.209
"Jun 1, 2015",-0.269
"Jul 1, 2015",-0.156
"Aug 1, 2015",-0.171
"Sep 1, 2015",-0.077
"Jun 1, 2016",-0.02
"Jul 1, 2016",-0.099
"Aug 1, 2016",-0.388
"Sep 1, 2016",-0.52
"Jun 1, 2017",2.09
"Jul 1, 2017",2.09
"Aug 1, 2017",1.945
"Sep 1, 2017",1.75
"Jun 1, 2018",-0.058
"Jul 1, 2018",-0.016
"Aug 1, 2018",-0.087
"Sep 1, 2018",-0.226
"Jun 1, 2019",-0.62
"Jul 1, 2019",-0.808
"Aug 1, 2019",-0.657
"Sep 1, 2019",-0.558
"Jun 1, 2020",-0.803
"Jul 1, 2020",-0.466
"Aug 1, 2020",-0.512
"Sep 1, 2020",-0.61
